Airline,Flight #,Origin,ETA,Gate #,Status,AirlineCode,AirportCode,ScheduledDate,ScheduledTime,EstimatedDate,OriginDestAirport,BoardingGate,EstimatedTime,Remarks,FlightNumber
https://www.ind.com/assets/images/airlines/ua.png,UA 3707,Chicago/O'Hare,9:51 pm,A21,Arrived,UA,IND,20250415,2151,20250415,Chicago/O'Hare,A21,2151,Arr,3707
https://www.ind.com/assets/images/airlines/wn.png,WN 339,Orlando Int'l,9:56 pm,,Arrived,WN,IND,20250415,2156,20250415,Orlando Int'l,,2156,Arr,339
https://www.ind.com/assets/images/airlines/wn.png,WN 1288,Austin,10:25 pm,,Arrived,WN,IND,20250415,2225,20250415,Austin,,2225,Arr,1288
https://www.ind.com/assets/images/airlines/ua.png,UA 1199,Denver,10:15 pm,A24,Arrived,UA,IND,20250415,2215,20250415,Denver,A24,2215,Arr,1199
https://www.ind.com/assets/images/airlines/aa.png,AA 2800,Dallas-Ft. Worth,10:34 pm,B9,Arrived,AA,IND,20250415,2234,20250415,Dallas-Ft. Worth,B9,2234,Arr,2800
https://www.ind.com/assets/images/airlines/dl.png,DL 2228,Salt Lake City,10:18 pm,A7,Arrived,DL,IND,20250415,2218,20250415,Salt Lake City,A7,2218,Arr,2228
https://www.ind.com/assets/images/airlines/wn.png,WN 4947,Las Vegas,10:30 pm,,Arrived,WN,IND,20250415,2230,20250415,Las Vegas,,2230,Arr,4947
https://www.ind.com/assets/images/airlines/aa.png,AA 4585,Boston,10:31 pm,HGR,Arrived,AA,IND,20250415,2231,20250415,Boston,HGR,2231,Arr,4585
https://www.ind.com/assets/images/airlines/ua.png,UA 3558,Newark,10:55 pm,A23,Arrived,UA,IND,20250415,2255,20250415,Newark,A23,2255,Arr,3558
https://www.ind.com/assets/images/airlines/wn.png,WN 4368,Tampa,10:38 pm,,Arrived,WN,IND,20250415,2238,20250415,Tampa,,2238,Arr,4368
https://www.ind.com/assets/images/airlines/wn.png,WN 4631,Houston/Hobby Field,10:39 pm,,Arrived,WN,IND,20250415,2239,20250415,Houston/Hobby Field,,2239,Arr,4631
https://www.ind.com/assets/images/airlines/dl.png,DL 1986,Atlanta,10:55 pm,A8,Arrived,DL,IND,20250415,2255,20250415,Atlanta,A8,2255,Arr,1986
https://www.ind.com/assets/images/airlines/aa.png,AA 4543,Philadelphia,11:31 pm,B6,Arrived,AA,IND,20250415,2331,20250415,Philadelphia,B6,2331,Arr,4543
https://www.ind.com/assets/images/airlines/wn.png,WN 2314,Phoenix,11:14 pm,,Arrived,WN,IND,20250415,2314,20250415,Phoenix,,2314,Arr,2314
https://www.ind.com/assets/images/airlines/wn.png,WN 3474,Dallas/Love Field,11:22 pm,,Arrived,WN,IND,20250415,2322,20250415,Dallas/Love Field,,2322,Arr,3474
https://www.ind.com/assets/images/airlines/ua.png,UA 3650,Chicago/O'Hare,11:20 pm,A21,Arrived,UA,IND,20250415,2320,20250415,Chicago/O'Hare,A21,2320,Arr,3650
https://www.ind.com/assets/images/airlines/aa.png,AA 2518,Miami,11:31 pm,B14,Arrived,AA,IND,20250415,2331,20250415,Miami,B14,2331,Arr,2518
https://www.ind.com/assets/images/airlines/dl.png,DL 4909,Detroit,11:57 pm,A10,On Time,DL,IND,20250415,2357,20250415,Detroit,A10,2357,On ,4909
https://www.ind.com/assets/images/airlines/ua.png,UA 1956,Houston,11:37 pm,A23,Arrived,UA,IND,20250415,2337,20250415,Houston,A23,2337,Arr,1956
https://www.ind.com/assets/images/airlines/aa.png,AA 766,Dallas-Ft. Worth,11:55 pm,B15,On Time,AA,IND,20250415,2355,20250415,Dallas-Ft. Worth,B15,2355,On ,766
https://www.ind.com/assets/images/airlines/wn.png,WN 1373,Denver,11:51 pm,,Arrived,WN,IND,20250415,2351,20250415,Denver,,2351,Arr,1373
